year,month,day,order,country,session_id,page_1_main_category,page_2_model,colour,location,model_photography,price,price_2,page,higher_than_average,main_category,click_position,n_clicks_observed,is_first_click,is_last_observed_click,running_high_price_count,running_high_price_share,running_unique_pages,running_unique_models,running_unique_categories,running_unique_colours,price_delta_from_prev,category_changed_from_prev,category_frequency,colour_frequency,model_frequency
2008,4,1,1,29,1,1,A13,1,5,1,28,2,1,0,trousers,1,5,1,0,0,0.0,1,1,1,1,0.0,0,0.3564944091870656,0.0504925959504382,0.013127833182230281
2008,4,1,2,29,1,1,A16,1,6,1,33,2,1,0,trousers,2,5,0,0,0,0.0,1,2,1,1,5.0,0,0.3564944091870656,0.0504925959504382,0.010927772741009369
2008,4,1,3,29,1,2,B4,10,2,1,52,1,1,1,skirts,3,5,0,0,1,0.3333333333333333,1,3,2,2,19.0,1,0.2640072529465095,0.027778785131459656,0.027778785131459656
2008,4,1,4,29,1,2,B17,6,6,2,38,2,1,0,skirts,4,5,0,0,1,0.25,1,4,2,3,-14.0,0,0.2640072529465095,0.09132668479903294,0.010818978543366576
2008,4,1,5,29,1,2,B8,4,3,2,52,1,1,1,skirts,5,5,0,1,2,0.4,1,5,2,4,14.0,0,0.2640072529465095,0.0923541855545482,0.0036022967663946813
2008,4,1,1,29,2,2,B31,9,5,1,57,1,2,1,skirts,1,5,1,0,1,1.0,1,1,1,1,0.0,0,0.2640072529465095,0.07014808099123603,0.008485947416137805
2008,4,1,2,29,2,2,B21,12,1,1,67,1,2,1,skirts,2,5,0,0,2,1.0,1,2,1,2,10.0,0,0.2640072529465095,0.06035660320338471,0.005838621940163192
2008,4,1,3,29,2,2,B24,11,2,1,57,1,2,1,skirts,3,5,0,0,3,1.0,1,3,1,3,-10.0,0,0.2640072529465095,0.030740404956180113,0.011834391054699306
2008,4,1,4,29,2,2,B27,2,3,1,57,1,2,1,skirts,4,5,0,0,4,1.0,1,4,1,4,0.0,0,0.2640072529465095,0.17448171653067393,0.005717739498337866
2008,4,1,5,29,2,1,A10,3,4,1,38,2,1,0,trousers,5,5,0,1,4,0.8,2,5,2,5,-19.0,1,0.3564944091870656,0.21770927772741008,0.015061952251435478
