month,day,order,country,session ID,page 2 (clothing model),colour,location,model photography,price,page,main_category,higher_than_average
4,1,1,Poland,1,A13,beige,5,en face,28,1,trousers,0
4,1,2,Poland,1,A16,beige,6,en face,33,1,trousers,0
4,1,3,Poland,1,B4,olive,2,en face,52,1,skirts,1
4,1,4,Poland,1,B17,gray,6,profile,38,1,skirts,0
4,1,5,Poland,1,B8,brown,3,profile,52,1,skirts,1
4,1,6,Poland,1,C56,gray,1,profile,57,4,blouses,1
4,1,7,Poland,1,C57,burgundy,1,profile,33,4,blouses,0
4,1,8,Poland,1,P67,of many colors,5,en face,38,4,sale,1
4,1,9,Poland,1,P82,gray,4,profile,48,5,sale,1
4,1,1,Poland,2,B31,of many colors,5,en face,57,2,skirts,1
4,1,2,Poland,2,B21,red,1,en face,67,2,skirts,1
4,1,3,Poland,2,B24,pink,2,en face,57,2,skirts,1
4,1,4,Poland,2,B27,black,3,en face,57,2,skirts,1
4,1,5,Poland,2,A10,blue,4,en face,38,1,trousers,0
4,1,6,Poland,2,A10,blue,4,en face,38,1,trousers,0
4,1,7,Poland,2,B27,black,3,en face,57,2,skirts,1
4,1,8,Poland,2,P1,blue,1,en face,38,1,sale,1
4,1,9,Poland,2,P34,of many colors,6,profile,48,2,sale,1
4,1,10,Poland,2,P33,of many colors,5,en face,43,2,sale,1
4,1,1,Ireland,3,B17,gray,6,profile,38,1,skirts,0
4,1,2,Ireland,3,C4,brown,2,en face,48,1,blouses,1
4,1,3,Ireland,3,C7,violet,3,en face,48,1,blouses,1
4,1,4,Ireland,3,C10,of many colors,4,profile,28,1,blouses,0
4,1,5,Ireland,3,C17,white,6,en face,48,1,blouses,1
4,1,6,Ireland,3,P77,green,2,en face,43,5,sale,1
4,1,1,Ireland,4,A34,black,6,en face,38,2,trousers,0
4,1,2,Ireland,4,A37,black,1,en face,62,3,trousers,1
4,1,3,Ireland,4,C4,brown,2,en face,48,1,blouses,1
4,1,4,Ireland,4,C25,black,3,en face,33,2,blouses,0
4,1,1,Czech Republic,5,C21,white,1,en face,57,2,blouses,1
4,1,1,Czech Republic,6,C7,violet,3,en face,48,1,blouses,1
4,1,2,Czech Republic,6,C15,gray,5,en face,33,1,blouses,0
4,1,3,Czech Republic,6,C53,white,6,en face,38,3,blouses,0
4,1,4,Czech Republic,6,B17,gray,6,profile,38,1,skirts,0
4,1,5,Czech Republic,6,B26,violet,3,en face,57,2,skirts,1
4,1,1,Poland,7,A11,blue,4,en face,62,1,trousers,1
4,1,2,Poland,7,C5,pink,2,en face,48,1,blouses,1
4,1,3,Poland,7,P60,white,2,en face,28,4,sale,0
4,1,4,Poland,7,P56,black,1,en face,33,4,sale,0
4,1,5,Poland,7,P55,white,1,profile,33,4,sale,0
4,1,6,Poland,7,P48,of many colors,4,profile,33,3,sale,0
4,1,7,Poland,7,P50,gray,5,profile,33,3,sale,0
4,1,8,Poland,7,P42,gray,2,profile,28,3,sale,0
4,1,9,Poland,7,P23,gray,2,profile,28,2,sale,0
4,1,10,Poland,7,P1,blue,1,en face,38,1,sale,1
4,1,11,Poland,7,B4,olive,2,en face,52,1,skirts,1
4,1,1,Czech Republic,8,C49,brown,5,profile,26,3,blouses,0
4,1,2,Czech Republic,8,B23,green,2,en face,38,2,skirts,0
4,1,3,Czech Republic,8,C5,pink,2,en face,48,1,blouses,1
4,1,4,Czech Republic,8,C19,red,1,en face,48,2,blouses,1
4,1,5,Czech Republic,8,C34,green,6,en face,48,2,blouses,1
4,1,6,Czech Republic,8,C40,white,2,profile,28,3,blouses,0
4,1,7,Czech Republic,8,C50,of many colors,5,profile,20,3,blouses,0
4,1,8,Czech Republic,8,C42,green,2,en face,28,3,blouses,0
4,1,9,Czech Republic,8,B24,pink,2,en face,57,2,skirts,1
4,1,1,Poland,9,A18,brown,6,en face,38,1,trousers,0
4,1,2,Poland,9,A1,navy blue,1,en face,28,1,trousers,0
4,1,3,Poland,9,B26,violet,3,en face,57,2,skirts,1
4,1,1,Germany,10,A1,navy blue,1,en face,28,1,trousers,0
4,1,2,Germany,10,B1,brown,1,en face,57,1,skirts,1
4,1,3,Germany,10,B4,olive,2,en face,52,1,skirts,1
4,1,4,Germany,10,B16,red,6,en face,52,1,skirts,1
4,1,5,Germany,10,B17,gray,6,profile,38,1,skirts,0
4,1,1,Czech Republic,11,A3,blue,1,en face,72,1,trousers,1
4,1,1,Poland,12,B4,olive,2,en face,52,1,skirts,1
4,1,2,Poland,12,B3,red,1,en face,52,1,skirts,1
4,1,3,Poland,12,B3,red,1,en face,52,1,skirts,1
4,1,4,Poland,12,B30,of many colors,4,en face,57,2,skirts,1
4,1,5,Poland,12,B27,black,3,en face,57,2,skirts,1
4,1,6,Poland,12,C17,white,6,en face,48,1,blouses,1
4,1,7,Poland,12,P16,green,6,en face,33,1,sale,0
4,1,1,Switzerland,13,A1,navy blue,1,en face,28,1,trousers,0
4,1,2,Switzerland,13,A2,blue,1,en face,43,1,trousers,0
4,1,3,Switzerland,13,A5,blue,2,en face,43,1,trousers,0
4,1,1,Czech Republic,14,A41,brown,2,en face,43,3,trousers,0
4,1,1,Ireland,15,A1,navy blue,1,en face,28,1,trousers,0
4,1,2,Ireland,15,A2,blue,1,en face,43,1,trousers,0
4,1,3,Ireland,15,A5,blue,2,en face,43,1,trousers,0
4,1,4,Ireland,15,B1,brown,1,en face,57,1,skirts,1
4,1,5,Ireland,15,B2,blue,1,profile,57,1,skirts,1
4,1,6,Ireland,15,B3,red,1,en face,52,1,skirts,1
4,1,7,Ireland,15,B13,red,5,profile,62,1,skirts,1
4,1,8,Ireland,15,B15,of many colors,5,en face,38,1,skirts,0
4,1,9,Ireland,15,B16,red,6,en face,52,1,skirts,1
4,1,10,Ireland,15,B17,gray,6,profile,38,1,skirts,0
4,1,11,Ireland,15,B9,beige,3,en face,48,1,skirts,0
4,1,12,Ireland,15,B20,navy blue,1,en face,43,2,skirts,0
4,1,13,Ireland,15,B21,red,1,en face,67,2,skirts,1
4,1,14,Ireland,15,B23,green,2,en face,38,2,skirts,0
4,1,15,Ireland,15,B25,gray,3,en face,38,2,skirts,0
4,1,16,Ireland,15,B26,violet,3,en face,57,2,skirts,1
4,1,17,Ireland,15,B33,gray,5,profile,33,2,skirts,0
4,1,18,Ireland,15,B34,black,6,en face,48,2,skirts,0
4,1,19,Ireland,15,C2,red,1,en face,43,1,blouses,1
4,1,20,Ireland,15,C5,pink,2,en face,48,1,blouses,1
4,1,21,Ireland,15,C33,white,5,en face,48,2,blouses,1
4,1,22,Ireland,15,C35,of many colors,6,en face,50,2,blouses,1
4,1,23,Ireland,15,C55,violet,1,en face,48,4,blouses,1
4,1,24,Ireland,15,C56,gray,1,profile,57,4,blouses,1
4,1,25,Ireland,15,C59,burgundy,2,profile,52,4,blouses,1
4,1,1,Poland,16,P61,beige,3,profile,28,4,sale,0
4,1,2,Poland,16,P62,red,3,profile,33,4,sale,0
4,1,1,Czech Republic,17,C7,violet,3,en face,48,1,blouses,1
4,1,2,Czech Republic,17,C57,burgundy,1,profile,33,4,blouses,0
4,1,3,Czech Republic,17,A6,blue,2,en face,43,1,trousers,0
4,1,4,Czech Republic,17,C47,violet,4,profile,18,3,blouses,0
4,1,5,Czech Republic,17,B26,violet,3,en face,57,2,skirts,1
4,1,6,Czech Republic,17,B33,gray,5,profile,33,2,skirts,0
4,1,7,Czech Republic,17,B32,gray,5,en face,38,2,skirts,0
4,1,1,Czech Republic,18,A17,black,6,en face,62,1,trousers,1
4,1,2,Czech Republic,18,A17,black,6,en face,62,1,trousers,1
4,1,3,Czech Republic,18,A2,blue,1,en face,43,1,trousers,0
4,1,4,Czech Republic,18,A1,navy blue,1,en face,28,1,trousers,0
4,1,5,Czech Republic,18,A7,blue,3,en face,43,1,trousers,0
4,1,6,Czech Republic,18,A8,blue,3,en face,62,1,trousers,1
4,1,7,Czech Republic,18,A9,blue,3,en face,82,1,trousers,1
4,1,8,Czech Republic,18,A20,black,1,profile,38,2,trousers,0
4,1,9,Czech Republic,18,A34,black,6,en face,38,2,trousers,0
4,1,10,Czech Republic,18,A32,black,5,en face,38,2,trousers,0
4,1,11,Czech Republic,18,C7,violet,3,en face,48,1,blouses,1
4,1,1,Poland,19,A10,blue,4,en face,38,1,trousers,0
4,1,2,Poland,19,C11,green,4,en face,33,1,blouses,0
4,1,3,Poland,19,C5,pink,2,en face,48,1,blouses,1
4,1,4,Poland,19,C22,pink,2,profile,43,2,blouses,1
4,1,5,Poland,19,P12,brown,4,en face,33,1,sale,0
4,1,1,Poland,20,A4,blue,2,profile,38,1,trousers,0
4,1,2,Poland,20,A23,gray,2,profile,33,2,trousers,0
4,1,3,Poland,20,P1,blue,1,en face,38,1,sale,1
4,1,1,Poland,21,P12,brown,4,en face,33,1,sale,0
4,1,2,Poland,21,B12,black,4,en face,38,1,skirts,0
4,1,3,Poland,21,B10,black,4,en face,67,1,skirts,1
4,1,4,Poland,21,B15,of many colors,5,en face,38,1,skirts,0
4,1,5,Poland,21,C14,of many colors,5,en face,23,1,blouses,0
4,1,6,Poland,21,C5,pink,2,en face,48,1,blouses,1
4,1,7,Poland,21,P1,blue,1,en face,38,1,sale,1
4,1,1,Czech Republic,22,A12,black,4,en face,38,1,trousers,0
4,1,2,Czech Republic,22,A10,blue,4,en face,38,1,trousers,0
4,1,3,Czech Republic,22,A31,gray,5,profile,62,2,trousers,1
4,1,4,Czech Republic,22,A20,black,1,profile,38,2,trousers,0
4,1,1,Poland,23,A15,white,5,profile,33,1,trousers,0
4,1,2,Poland,23,B27,black,3,en face,57,2,skirts,1
4,1,3,Poland,23,P56,black,1,en face,33,4,sale,0
4,1,1,Poland,24,B1,brown,1,en face,57,1,skirts,1
4,1,2,Poland,24,B7,gray,3,en face,38,1,skirts,0
4,1,3,Poland,24,B4,olive,2,en face,52,1,skirts,1
4,1,4,Poland,24,B32,gray,5,en face,38,2,skirts,0
4,1,5,Poland,24,C15,gray,5,en face,33,1,blouses,0
4,1,6,Poland,24,P1,blue,1,en face,38,1,sale,1
4,1,1,Czech Republic,25,B17,gray,6,profile,38,1,skirts,0
4,1,2,Czech Republic,25,C7,violet,3,en face,48,1,blouses,1
4,1,1,Poland,26,A11,blue,4,en face,62,1,trousers,1
4,1,2,Poland,26,A10,blue,4,en face,38,1,trousers,0
4,1,1,Czech Republic,27,B2,blue,1,profile,57,1,skirts,1
4,1,2,Czech Republic,27,A4,blue,2,profile,38,1,trousers,0
4,1,3,Czech Republic,27,C2,red,1,en face,43,1,blouses,1
4,1,4,Czech Republic,27,C8,black,3,profile,48,1,blouses,1
4,1,5,Czech Republic,27,C18,of many colors,6,en face,48,1,blouses,1
