session_id,n_clicks_observed,n_unique_pages,n_unique_models,n_unique_categories,n_unique_colours,price_mean,price_min,price_max,price_std,high_price_share_first_n,high_price_count_first_n,category_entropy,category_share_blouses,category_share_sale,category_share_skirts,category_share_trousers,top_category_share,mean_model_frequency,max_model_frequency,min_model_frequency,last_page,last_location,first_model_frequency,last_model_frequency,last_category_frequency,last_colour_frequency,category_transition_count,category_switch_rate,colour_switch_rate,model_switch_rate,mean_price_diff,std_price_diff,mean_price_deviation,category_revisit_rate,model_revisit_rate,colour_revisit_rate,max_abs_price_diff,n_price_increases,n_price_decreases,exploration_velocity_categories,exploration_velocity_models
1,5,1,5,2,4,40.6,28,52,10.99090533122727,0.4,2,0.9709505944546686,0.0,0.0,0.6,0.4,0.6,0.013251133272892113,0.027778785131459656,0.0036022967663946813,1,3,0.013127833182230281,0.0036022967663946813,0.2640072529465095,0.0923541855545482,1,0.2,0.6,0.8,4.8,12.872451204024818,5.696666666666667,0.6,0.0,0.2,19.0,3,1,0.8,0.6
2,5,2,5,2,5,55.2,38,67,10.545141061171254,0.8,4,0.7219280948873623,0.0,0.0,0.8,0.2,0.8,0.009387730432154729,0.015061952251435478,0.005717739498337866,1,4,0.008485947416137805,0.015061952251435478,0.3564944091870656,0.21770927772741008,1,0.2,0.8,0.8,-3.8,11.054410884348384,-3.606666666666668,0.6,0.0,0.0,19.0,1,2,0.6,0.6
3,5,1,5,2,5,42.0,28,48,8.94427190999916,0.6,3,0.7219280948873623,0.8,0.0,0.2,0.0,0.8,0.007504381988516167,0.010818978543366576,0.003227561196736174,1,6,0.010818978543366576,0.00971894832275612,0.2042429737080689,0.08348141432456936,1,0.2,0.8,0.8,2.0,14.832396974191326,0.36666666666666714,0.6,0.0,0.0,20.0,2,1,0.9,0.6
4,4,3,4,2,2,45.25,33,62,12.789970028633114,0.5,2,1.0,0.5,0.0,0.0,0.5,0.5,0.0036748262314898763,0.005959504381988516,0.0020912662435781204,2,3,0.002852825627077667,0.0020912662435781204,0.2042429737080689,0.17448171653067393,1,0.25,0.5,0.75,-1.25,18.17278184538625,-0.3958333333333339,0.5,0.0,0.5,24.0,1,2,0.75,0.625
5,1,1,1,1,1,57.0,57,57,0.0,1.0,1,-0.0,1.0,0.0,0.0,0.0,1.0,0.004206708975521305,0.004206708975521305,0.004206708975521305,2,1,0.004206708975521305,0.004206708975521305,0.2042429737080689,0.08348141432456936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0
6,5,3,5,2,3,42.8,33,57,9.628083921528727,0.4,2,0.9709505944546686,0.6,0.0,0.4,0.0,0.6,0.00638501057721366,0.010818978543366576,0.0026473254759746146,2,3,0.007796917497733454,0.007506799637352675,0.2640072529465095,0.033593230583257784,1,0.2,0.8,0.8,1.8,12.19426094521517,0.7566666666666677,0.6,0.0,0.4,19.0,2,1,0.7,0.6
7,5,2,5,3,4,40.8,28,62,14.024977718342372,0.4,2,1.3709505944546687,0.2,0.6,0.0,0.2,0.6,0.007980658809307949,0.02279842852825627,0.0011604714415231188,4,1,0.02279842852825627,0.0014868540344514958,0.175255364158356,0.08348141432456936,2,0.4,0.8,0.8,-5.8,10.639548862616309,-8.51,0.4,0.0,0.2,20.0,1,2,0.7999999999999999,0.6
8,5,3,5,2,4,41.6,26,48,9.736529155710468,0.6,3,0.7219280948873623,0.8,0.0,0.2,0.0,0.8,0.0063898458748866726,0.01272892112420671,0.0031671199758235118,2,6,0.003650649743124811,0.003747355696585071,0.2042429737080689,0.03696585071018434,2,0.4,0.8,0.8,4.4,6.06630035524124,6.213333333333333,0.6,0.0,0.2,12.0,2,0,0.9,0.6
9,3,2,3,2,3,41.0,28,57,14.730919862656235,0.3333333333333333,1,0.9182958340544896,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.012277626674725496,0.022544575400423088,0.006781504986400726,2,3,0.006781504986400726,0.007506799637352675,0.2640072529465095,0.033593230583257784,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,6.333333333333333,20.256686138984662,3.6666666666666665,0.3333333333333333,0.0,0.0,29.0,1,1,0.6666666666666666,0.6666666666666666
10,5,1,5,2,5,45.4,28,57,12.033287165193059,0.6,3,0.7219280948873623,0.0,0.0,0.8,0.2,0.8,0.016691447567240857,0.027778785131459656,0.010045330915684497,1,6,0.022544575400423088,0.010818978543366576,0.2640072529465095,0.09132668479903294,1,0.2,0.8,0.8,2.0,16.140012391568973,3.6366666666666676,0.6,0.0,0.0,29.0,1,2,0.9,0.6
