session_id,n_clicks_observed,n_unique_pages,n_unique_models,n_unique_categories,n_unique_colours,price_mean,price_min,price_max,price_std,high_price_share_first_n,high_price_count_first_n,category_entropy,category_share_blouses,category_share_sale,category_share_skirts,category_share_trousers,top_category_share,mean_model_frequency,max_model_frequency,min_model_frequency,last_page,last_location,first_model_frequency,last_model_frequency,last_category_frequency,last_colour_frequency,category_transition_count
1,9,3,9,4,6,42.111111111111114,28,57,10.313152336269988,0.5555555555555556,5,1.974937501201927,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.007692380004646584,0.021628775517603973,0.0013174275112706527,5,4,0.009530198097586328,0.004381352961794602,0.23415763201469716,0.10561175773837582,3
2,10,2,8,3,5,50.0,38,67,10.381607668264959,0.8,8,1.4854752972273344,0.0,0.3,0.5,0.2,0.5,0.008795943773644198,0.016201941090443213,0.0025079468677858758,2,5,0.008496803123149255,0.004949418035461764,0.23415763201469716,0.08177115438074864,3
3,6,2,6,3,6,42.166666666666664,28,48,8.01040989379861,0.6666666666666666,4,1.2516291673878228,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.006033173388770039,0.009107170915068229,0.0026892442317222043,5,2,0.008805008641841014,0.0026892442317222043,0.23415763201469716,0.04155335581420646,2
4,4,3,4,2,2,45.25,33,62,12.789970028633114,0.5,2,1.0,0.5,0.0,0.0,0.5,0.5,0.003944728476981278,0.0051730181176499026,0.002665071249864027,2,3,0.003372130969215708,0.002665071249864027,0.23313028028572463,0.17987115800669592,1
5,1,1,1,1,1,57.0,57,57,0.0,1.0,1,-0.0,1.0,0.0,0.0,0.0,1.0,0.004659342253163639,0.004659342253163639,0.004659342253163639,2,1,0.004659342253163639,0.004659342253163639,0.23313028028572463,0.09632328945937126,0
6,5,3,5,2,3,42.8,33,57,9.628083921528727,0.4,2,0.9709505944546686,0.6,0.0,0.4,0.0,0.6,0.006051706008194641,0.008805008641841014,0.0031183146597048477,2,3,0.006720088956573238,0.007680964985435778,0.23210897180221665,0.038042230199306235,1
7,11,4,11,4,7,37.81818181818182,28,62,11.27668552206881,0.36363636363636365,4,1.2776134368191154,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.00805234988852959,0.021628775517603973,0.0016800222391433095,1,2,0.016854611600613995,0.021628775517603973,0.23210897180221665,0.021628775517603973,3
8,9,3,9,2,6,37.888888888888886,20,57,12.88840995278747,0.4444444444444444,4,0.7642045065086203,0.7777777777777778,0.0,0.2222222222222222,0.0,0.7777777777777778,0.006440756721767636,0.0113552582278787,0.0029853632594848737,2,2,0.005100499172075371,0.0113552582278787,0.23210897180221665,0.03198085499836832,3
9,3,2,3,2,3,41.0,28,57,14.730919862656235,0.3333333333333333,1,0.9182958340544896,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.009012493402790367,0.013687950977192791,0.005668564245742533,2,3,0.005668564245742533,0.007680964985435778,0.23210897180221665,0.038042230199306235,1
10,5,1,5,2,5,45.4,28,57,12.033287165193059,0.6,3,0.7219280948873623,0.0,0.0,0.8,0.2,0.8,0.012401948342337769,0.021628775517603973,0.008508889614078344,1,6,0.013687950977192791,0.008805008641841014,0.23210897180221665,0.10561175773837582,1
11,1,1,1,1,1,72.0,72,72,0.0,1.0,1,-0.0,0.0,0.0,0.0,1.0,1.0,0.011675550237499548,0.011675550237499548,0.011675550237499548,1,1,0.011675550237499548,0.011675550237499548,0.3006031158973615,0.17681931904710105,0
12,7,2,6,3,6,50.142857142857146,33,57,8.194074514114279,0.8571428571428571,6,1.1488348542809166,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.7142857142857143,0.009578544061302681,0.021628775517603973,0.00573503994585252,1,6,0.021628775517603973,0.009113214160532773,0.23415763201469716,0.04155335581420646,2
13,3,1,3,1,2,38.0,28,43,8.660254037844387,0.0,0,-0.0,0.0,0.0,0.0,1.0,1.0,0.015374016461800644,0.018208298584671913,0.013687950977192791,1,2,0.013687950977192791,0.014225799823537232,0.3006031158973615,0.17681931904710105,0
14,1,1,1,1,1,43.0,43,43,0.0,0.0,0,-0.0,0.0,0.0,0.0,1.0,1.0,0.004532434098408209,0.004532434098408209,0.004532434098408209,3,2,0.004532434098408209,0.004532434098408209,0.3006031158973615,0.09981628533787786,0
15,25,3,25,3,13,47.52,28,67,9.247161726713768,0.56,14,1.3234669541469457,0.28,0.0,0.6,0.12,0.6,0.007530125578640753,0.018208298584671913,0.002411254940353167,4,2,0.013687950977192791,0.0029370172957685196,0.23313028028572463,0.010074090189395313,2
16,2,1,2,1,2,30.5,28,33,3.5355339059327378,0.0,0,-0.0,0.0,1.0,0.0,0.0,1.0,0.002057725080677327,0.003184790359814835,0.0009306598015398189,4,3,0.003184790359814835,0.0009306598015398189,0.23415763201469716,0.05336185745192598,0
17,7,4,7,3,4,38.57142857142857,18,57,12.474736374731437,0.2857142857142857,2,1.4488156357251847,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.006102814598409072,0.01088992832710879,0.001692108730072398,2,5,0.006720088956573238,0.008224857077244763,0.23210897180221665,0.10561175773837582,3
18,11,2,10,2,4,49.45454545454545,28,82,15.718547237983772,0.45454545454545453,5,0.4394969869215134,0.09090909090909091,0.0,0.0,0.9090909090909091,0.9090909090909091,0.008968725655335031,0.018208298584671913,0.003275439041782999,1,3,0.00925220880621729,0.006720088956573238,0.23313028028572463,0.038042230199306235,1
19,5,2,5,3,4,39.0,33,48,6.51920240520265,0.4,2,1.3709505944546687,0.6,0.2,0.0,0.2,0.6,0.007587899005281796,0.013778599659160956,0.0016981519755369424,1,4,0.013778599659160956,0.006037202219079735,0.23415763201469716,0.09981628533787786,2
20,3,2,3,2,2,36.333333333333336,33,38,2.886751345948128,0.3333333333333333,1,0.9182958340544896,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.01130288343385265,0.016201941090443213,0.0024656441495340656,1,1,0.015241065061580671,0.016201941090443213,0.23415763201469716,0.17681931904710105,1
